iter	Passed	Remaining
0	4	407
1	7	353
2	12	410
3	15	373
4	18	347
5	21	339
6	25	345
7	29	336
8	31	322
9	34	313
10	37	301
11	41	306
12	44	298
13	46	288
14	49	279
15	51	271
16	55	271
17	58	265
18	60	258
19	62	250
20	65	246
21	68	241
22	71	239
23	73	233
24	75	227
25	78	222
26	79	215
27	82	210
28	85	210
29	88	206
30	90	201
31	92	196
32	94	192
33	96	187
34	100	186
35	102	182
36	104	178
37	106	174
38	108	170
39	110	166
40	114	165
41	117	162
42	119	159
43	122	155
44	124	152
45	127	149
46	131	148
47	133	144
48	136	141
49	138	138
50	140	135
51	144	133
52	146	130
53	149	127
54	151	124
55	153	120
56	156	117
57	160	116
58	162	112
59	164	109
60	167	106
61	169	103
62	172	101
63	175	98
64	178	95
65	180	92
66	182	89
67	184	86
68	186	83
69	190	81
70	192	78
71	194	75
72	196	72
73	198	69
74	201	67
75	205	64
76	207	61
77	209	58
78	211	56
79	213	53
80	215	50
81	219	48
82	221	45
83	224	42
84	226	39
85	228	37
86	230	34
87	234	32
88	236	29
89	238	26
90	240	23
91	242	21
92	243	18
93	247	15
94	249	13
95	251	10
96	253	7
97	255	5
98	257	2
99	258	0
