iter	Passed	Remaining
0	1	150
1	2	139
2	4	153
3	5	139
4	6	130
5	7	124
6	9	120
7	10	116
8	11	113
9	12	110
10	13	107
11	14	104
12	15	102
13	16	100
14	17	98
15	18	97
16	20	99
17	21	98
18	22	96
19	23	94
20	24	93
21	25	91
22	26	89
23	27	88
24	28	86
25	29	85
26	30	82
27	31	81
28	32	80
29	33	79
30	35	78
31	36	78
32	37	76
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	51	63
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	80	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	113	4
96	115	3
97	116	2
98	117	1
99	118	0
